probe,trange_start,trange_end,interval_tag
d,2015-12-20/11:15,2015-12-20/12:30,beam_period
d,2016-01-20/10:00,2016-01-20/14:00,beam_period
e,2014-08-17/12:00,2014-08-17/15:00,beam_period
a,2014-08-21/08:00,2014-08-21/10:00,beam_period
d,2014-11-04/14:00,2014-11-04/16:00,beam_period
d,2014-11-14/11:00,2014-11-14/14:00,beam_period
a,2012-05-30/10:00,2012-05-30/12:00,beam_period
a,2012-06-14/09:00,2012-06-14/10:00,beam_period
a,2012-06-16/12:00,2012-06-16/14:00,beam_period
a,2012-06-17/11:00,2012-06-17/12:00,beam_period
a,2012-06-22/07:00,2012-06-22/08:00,beam_period
a,2012-06-27/07:00,2012-06-27/10:00,beam_period
a,2012-06-29/06:00,2012-06-29/09:00,beam_period
a,2012-06-30/06:00,2012-06-30/08:00,beam_period
a,2012-06-30/08:00,2012-06-30/09:00,beam_period
a,2012-06-30/09:00,2012-06-30/11:00,beam_period
a,2012-07-04/08:00,2012-07-04/10:00,beam_period
a,2012-07-06/06:00,2012-07-06/07:00,beam_period
a,2012-07-08/08:00,2012-07-08/11:00,beam_period
a,2012-07-11/05:00,2012-07-11/07:00,beam_period
a,2012-07-12/08:00,2012-07-12/10:00,beam_period
a,2012-07-15/10:00,2012-07-15/12:00,beam_period
a,2012-07-16/05:00,2012-07-16/06:00,beam_period
a,2012-07-17/07:00,2012-07-17/08:00,beam_period
e,2012-07-22/04:00,2012-07-22/06:00,beam_period
a,2012-07-23/04:00,2012-07-23/05:00,beam_period
a,2013-09-12/20:00,2013-09-12/22:00,beam_period
a,2013-09-18/15:00,2013-09-18/17:00,beam_period
a,2013-09-18/18:00,2013-09-18/20:00,beam_period
a,2013-09-21/12:00,2013-09-21/14:00,beam_period
a,2013-09-23/16:00,2013-09-23/18:00,beam_period
a,2013-09-24/12:00,2013-09-24/15:00,beam_period
e,2013-10-07/12:00,2013-10-07/14:00,beam_period
e,2013-10-09/08:00,2013-10-09/10:00,beam_period
e,2013-10-09/12:00,2013-10-09/13:00,beam_period
a,2013-10-14/10:00,2013-10-14/14:00,beam_period
a,2013-10-14/14:00,2013-10-14/16:00,beam_period
a,2013-10-30/09:00,2013-10-30/11:00,beam_period
a,2011-04-18/11:00,2011-04-18/12:00,beam_period
a,2011-05-03/12:00,2011-05-03/13:00,beam_period
a,2011-05-15/09:00,2011-05-15/11:00,beam_period
e,2013-07-11/19:00,2013-07-11/21:00,beam_period
a,2013-08-09/17:00,2013-08-09/21:00,beam_period
a,2013-08-13/16:00,2013-08-13/18:00,beam_period
a,2013-08-14/13:00,2013-08-14/15:00,beam_period
e,2013-08-23/15:00,2013-08-23/16:00,beam_period
e,2013-08-24/09:00,2013-08-24/16:00,beam_period
a,2013-08-25/16:00,2013-08-25/18:00,beam_period
a,2013-08-26/14:00,2013-08-26/18:00,beam_period
a,2013-08-30/12:00,2013-08-30/15:00,beam_period
a,2013-08-31/11:00,2013-08-31/17:00,beam_period
a,2013-09-02/12:00,2013-09-02/13:00,beam_period
a,2011-05-16/05:00,2011-05-16/08:00,beam_period
a,2011-05-18/08:00,2011-05-18/09:00,beam_period
a,2011-05-26/08:00,2011-05-26/10:00,beam_period
a,2011-05-27/09:00,2011-05-27/11:00,beam_period
a,2011-05-28/08:00,2011-05-28/09:00,beam_period
a,2011-05-28/11:00,2011-05-28/13:00,beam_period
a,2011-05-30/08:00,2011-05-30/10:00,beam_period
a,2011-06-03/08:00,2011-06-03/09:00,beam_period
a,2011-06-10/10:00,2011-06-10/11:00,beam_period
a,2011-06-18/06:00,2011-06-18/08:00,beam_period
a,2011-06-19/06:00,2011-06-19/08:00,beam_period
a,2011-07-01/10:00,2011-07-01/12:00,beam_period
a,2011-07-06/07:00,2011-07-06/08:00,beam_period
e,2016-01-02/15:00,2016-01-02/16:00,beam_period
d,2016-01-04/10:00,2016-01-04/16:00,beam_period
d,2016-01-05/09:00,2016-01-05/14:00,beam_period
d,2016-01-06/13:00,2016-01-06/15:00,beam_period
d,2016-01-10/12:00,2016-01-10/13:00,beam_period
d,2016-01-10/14:00,2016-01-10/16:00,beam_period
d,2016-01-17/12:00,2016-01-17/13:00,beam_period
d,2016-01-18/11:00,2016-01-18/13:00,beam_period
d,2016-01-19/11:00,2016-01-19/13:00,beam_period
d,2016-01-28/08:00,2016-01-28/10:00,beam_period
d,2016-01-31/13:00,2016-01-31/15:00,beam_period
d,2016-02-07/10:00,2016-02-07/12:00,beam_period
e,2017-01-26/08:00,2017-01-26/11:00,beam_period
e,2017-01-26/12:00,2017-01-26/16:00,beam_period
e,2017-01-30/06:00,2017-01-30/12:00,beam_period
d,2017-01-31/14:00,2017-01-31/16:00,beam_period
