probe,trange_start,trange_end,interval_tag
a,2015-10-10/07:00,2015-10-10/09:00,tail2015
a,2015-10-11/07:00,2015-10-11/10:00,tail2015
d,2015-10-11/08:00,2015-10-11/10:00,tail2015
a,2015-10-12/06:00,2015-10-12/10:00,tail2015
d,2015-10-12/07:00,2015-10-12/10:00,tail2015
e,2015-10-12/08:00,2015-10-12/10:00,tail2015
a,2015-10-13/06:00,2015-10-13/10:00,tail2015
d,2015-10-13/07:00,2015-10-13/10:00,tail2015
e,2015-10-13/07:00,2015-10-13/10:00,tail2015
a,2015-10-14/06:00,2015-10-14/11:00,tail2015
d,2015-10-14/06:00,2015-10-14/10:00,tail2015
e,2015-10-14/07:00,2015-10-14/10:00,tail2015
a,2015-10-15/05:00,2015-10-15/11:00,tail2015
d,2015-10-15/06:00,2015-10-15/11:00,tail2015
e,2015-10-15/07:00,2015-10-15/11:00,tail2015
a,2015-10-16/05:00,2015-10-16/11:00,tail2015
d,2015-10-16/06:00,2015-10-16/11:00,tail2015
e,2015-10-16/06:00,2015-10-16/11:00,tail2015
a,2015-10-17/05:00,2015-10-17/11:00,tail2015
d,2015-10-17/06:00,2015-10-17/11:00,tail2015
e,2015-10-17/06:00,2015-10-17/11:00,tail2015
a,2015-10-18/05:00,2015-10-18/11:00,tail2015
d,2015-10-18/06:00,2015-10-18/11:00,tail2015
e,2015-10-18/06:00,2015-10-18/11:00,tail2015
a,2015-10-19/05:00,2015-10-19/12:00,tail2015
d,2015-10-19/05:00,2015-10-19/11:00,tail2015
e,2015-10-19/06:00,2015-10-19/11:00,tail2015
a,2015-10-20/05:00,2015-10-20/12:00,tail2015
d,2015-10-20/05:00,2015-10-20/12:00,tail2015
e,2015-10-20/06:00,2015-10-20/12:00,tail2015
a,2015-10-21/04:00,2015-10-21/12:00,tail2015
d,2015-10-21/05:00,2015-10-21/12:00,tail2015
e,2015-10-21/05:00,2015-10-21/12:00,tail2015
a,2015-10-22/04:00,2015-10-22/12:00,tail2015
d,2015-10-22/05:00,2015-10-22/12:00,tail2015
e,2015-10-22/05:00,2015-10-22/12:00,tail2015
a,2015-10-23/04:00,2015-10-23/13:00,tail2015
d,2015-10-23/05:00,2015-10-23/12:00,tail2015
e,2015-10-23/05:00,2015-10-23/12:00,tail2015
a,2015-10-24/04:00,2015-10-24/13:00,tail2015
d,2015-10-24/05:00,2015-10-24/13:00,tail2015
e,2015-10-24/05:00,2015-10-24/13:00,tail2015
a,2015-10-25/04:00,2015-10-25/13:00,tail2015
d,2015-10-25/05:00,2015-10-25/13:00,tail2015
e,2015-10-25/05:00,2015-10-25/13:00,tail2015
a,2015-10-26/04:00,2015-10-26/13:00,tail2015
d,2015-10-26/05:00,2015-10-26/13:00,tail2015
e,2015-10-26/05:00,2015-10-26/13:00,tail2015
a,2015-10-27/04:00,2015-10-27/14:00,tail2015
d,2015-10-27/04:00,2015-10-27/13:00,tail2015
e,2015-10-27/05:00,2015-10-27/13:00,tail2015
a,2015-10-28/04:00,2015-10-28/14:00,tail2015
d,2015-10-28/04:00,2015-10-28/14:00,tail2015
e,2015-10-28/05:00,2015-10-28/14:00,tail2015
a,2015-10-29/04:00,2015-10-29/14:00,tail2015
d,2015-10-29/04:00,2015-10-29/14:00,tail2015
e,2015-10-29/04:00,2015-10-29/14:00,tail2015
a,2015-10-30/04:00,2015-10-30/14:00,tail2015
d,2015-10-30/04:00,2015-10-30/14:00,tail2015
e,2015-10-30/04:00,2015-10-30/14:00,tail2015
a,2015-10-31/03:00,2015-10-31/14:00,tail2015
d,2015-10-31/04:00,2015-10-31/14:00,tail2015
e,2015-10-31/04:00,2015-10-31/14:00,tail2015
a,2015-11-01/03:00,2015-11-01/15:00,tail2015
d,2015-11-01/04:00,2015-11-01/15:00,tail2015
e,2015-11-01/04:00,2015-11-01/15:00,tail2015
a,2015-11-02/03:00,2015-11-02/15:00,tail2015
d,2015-11-02/04:00,2015-11-02/15:00,tail2015
e,2015-11-02/04:00,2015-11-02/15:00,tail2015
a,2015-11-03/03:00,2015-11-03/15:00,tail2015
d,2015-11-03/04:00,2015-11-03/15:00,tail2015
e,2015-11-03/04:00,2015-11-03/15:00,tail2015
a,2015-11-04/03:00,2015-11-04/15:00,tail2015
d,2015-11-04/04:00,2015-11-04/15:00,tail2015
e,2015-11-04/04:00,2015-11-04/15:00,tail2015
a,2015-11-05/03:00,2015-11-05/15:00,tail2015
d,2015-11-05/04:00,2015-11-05/15:00,tail2015
e,2015-11-05/04:00,2015-11-05/16:00,tail2015
a,2015-11-06/03:00,2015-11-06/15:00,tail2015
d,2015-11-06/04:00,2015-11-06/15:00,tail2015
